"plus"	"both"	"minus"
"ALL"	45.7769107183842	9.73146660546247	44.4916226761533
"ALL_pos"	45.3159041394335	2.97748729121278	51.7066085693537
"UP_CTIP_inter"	36.4406779661017	18.6440677966102	44.9152542372881
"UP_CTIP_inter_pos"	42.2535211267606	4.22535211267606	53.5211267605634
